id;name;balance
1;claw toward;7310.76
2;mid;30187.75
3;jacket boohoo;26641.98
4;anxiously notwithstanding;24706.79
5;an hover lest;29337.96
6;whenever;26234.22
7;yippee utterly;29672.61
8;poppy ew;1527.82
9;cruel joshingly out;23829.39
10;floss heighten across;8442.88
11;reorient upsell beside;22082.7
12;quarrelsomely obsess when;24740.03
13;lovely;173.2
14;disgorge that unkempt;7772.34
15;ornate great meanwhile;5894.59
16;eek completion along;2930.04
17;meh oh though;3493.85
18;blah a;5013.45
19;because;28686.72
20;whole;30228.29
21;fail sonata forgo;770.56
22;nice graduate zowie;1448.38
23;enlist;24449.47
24;blue scrabble;7956.88
25;scruple huzzah;13102.07
26;regarding zowie truthfully;30775.17
27;the rival;10219.81
28;bowed;15121.75
29;wetly yuck;5383.14
30;safe toward;31170.93
